iter	Passed	Remaining
0	168	134781
1	196	78313
2	236	62702
3	268	53522
4	302	48143
5	332	44035
6	362	41048
7	390	38678
8	417	36694
9	445	35177
10	471	33853
11	498	32736
12	525	31789
13	551	30958
14	578	30254
15	603	29582
16	630	29024
17	654	28449
18	680	27951
19	705	27526
20	730	27115
21	755	26721
22	780	26367
23	805	26059
24	834	25858
25	859	25581
26	885	25359
27	911	25138
28	935	24878
29	962	24693
30	987	24500
31	1013	24331
32	1040	24178
33	1066	24035
34	1094	23921
35	1120	23776
36	1146	23652
37	1175	23564
38	1202	23464
39	1230	23376
40	1256	23255
41	1283	23167
42	1310	23066
43	1336	22964
44	1363	22874
45	1389	22778
46	1416	22690
47	1441	22590
48	1468	22510
49	1493	22405
50	1519	22318
51	1547	22259
52	1573	22179
53	1600	22114
54	1626	22029
55	1652	21956
56	1680	21901
57	1705	21820
58	1731	21743
59	1757	21670
60	1785	21626
61	1811	21561
62	1837	21494
63	1864	21440
64	1891	21392
65	1917	21325
66	1942	21255
67	1968	21188
68	1993	21122
69	2019	21063
70	2044	20994
71	2070	20933
72	2094	20854
73	2119	20789
74	2144	20730
75	2169	20662
76	2195	20610
77	2220	20557
78	2244	20487
79	2269	20425
80	2294	20371
81	2319	20308
82	2344	20250
83	2368	20186
84	2391	20112
85	2415	20053
86	2440	20004
87	2467	19960
88	2492	19908
89	2517	19862
90	2543	19813
91	2566	19750
92	2591	19697
93	2616	19648
94	2642	19607
95	2667	19562
96	2691	19504
97	2715	19454
98	2741	19408
99	2767	19371
100	2792	19329
101	2817	19279
102	2841	19229
103	2867	19187
104	2893	19152
105	2920	19117
106	2943	19066
107	2970	19032
108	2996	18992
109	3021	18954
110	3047	18916
111	3072	18871
112	3097	18832
113	3124	18799
114	3149	18759
115	3175	18722
116	3201	18687
117	3226	18649
118	3255	18628
119	3284	18610
120	3312	18587
121	3337	18549
122	3363	18515
123	3390	18482
124	3416	18450
125	3441	18411
126	3469	18385
127	3495	18349
128	3520	18312
129	3547	18283
130	3573	18247
131	3601	18225
132	3627	18190
133	3651	18149
134	3677	18113
135	3703	18080
136	3730	18052
137	3756	18018
138	3782	17986
139	3808	17952
140	3831	17909
141	3856	17869
142	3881	17832
143	3905	17792
144	3929	17750
145	3954	17712
146	3979	17675
147	4003	17635
148	4028	17599
149	4052	17561
150	4078	17527
151	4106	17504
152	4131	17471
153	4155	17433
154	4178	17389
155	4203	17350
156	4227	17314
157	4252	17278
158	4276	17239
159	4300	17203
160	4325	17166
161	4349	17129
162	4372	17089
163	4398	17056
164	4421	17017
165	4445	16979
166	4471	16948
167	4496	16913
168	4520	16877
169	4544	16839
170	4568	16806
171	4594	16775
172	4619	16741
173	4643	16706
174	4667	16670
175	4691	16634
176	4718	16606
177	4743	16575
178	4767	16541
179	4790	16501
180	4816	16471
181	4840	16437
182	4864	16401
183	4889	16369
184	4915	16339
185	4941	16311
186	4967	16283
187	4993	16253
188	5018	16222
189	5042	16188
190	5067	16157
191	5094	16131
192	5126	16122
193	5151	16091
194	5176	16060
195	5200	16027
196	5225	15994
197	5250	15964
198	5275	15931
199	5299	15898
200	5324	15867
201	5349	15835
202	5373	15802
203	5399	15773
204	5423	15740
205	5449	15714
206	5475	15685
207	5499	15651
208	5522	15617
209	5546	15583
210	5571	15552
211	5594	15515
212	5618	15484
213	5643	15454
214	5667	15421
215	5691	15389
216	5717	15359
217	5741	15327
218	5766	15297
219	5790	15265
220	5814	15234
221	5838	15202
222	5863	15172
223	5889	15145
224	5913	15111
225	5938	15081
226	5962	15050
227	5987	15021
228	6013	14995
229	6037	14961
230	6062	14932
231	6086	14902
232	6111	14871
233	6134	14837
234	6159	14809
235	6185	14782
236	6213	14759
237	6239	14733
238	6262	14700
239	6286	14669
240	6310	14637
241	6333	14604
242	6358	14575
243	6383	14546
244	6408	14516
245	6430	14482
246	6454	14451
247	6479	14421
248	6501	14387
249	6525	14356
250	6549	14325
251	6573	14294
252	6597	14264
253	6622	14235
254	6647	14206
255	6671	14176
256	6696	14147
257	6720	14117
258	6744	14087
259	6769	14059
260	6793	14030
261	6819	14003
262	6844	13976
263	6870	13949
264	6895	13921
265	6921	13895
266	6945	13864
267	6969	13834
268	6995	13808
269	7019	13779
270	7043	13748
271	7068	13720
272	7091	13688
273	7115	13658
274	7138	13627
275	7162	13597
276	7186	13569
277	7210	13538
278	7233	13508
279	7259	13481
280	7283	13453
281	7307	13423
282	7333	13396
283	7357	13366
284	7380	13336
285	7404	13307
286	7427	13277
287	7454	13251
288	7477	13221
