Feature,SHAP_Importance
Shipping Mode_Standard Class,1.1904228
Days for shipment (scheduled),0.5272243
Shipping Mode_Same Day,0.26645467
shipping_duration,0.18825912
Shipping Mode_Second Class,0.057797
Order Profit Per Order,0.034673337
profit_margin,0.034078863
Customer Country_Puerto Rico,0.03380053
Customer Segment_Corporate,0.032614075
order_weekday,0.030623356
Order Item Discount,0.028450882
Order Item Discount Rate,0.022199461
Customer Segment_Home Office,0.022004267
Order Item Profit Ratio,0.020912495
Benefit per order,0.020708984
is_weekend_order,0.019801924
Type_TRANSFER,0.018994391
Market_LATAM,0.018003082
Type_DEBIT,0.015427138
Sales,0.015388536
Order Item Product Price,0.012615151
Market_Europe,0.010936219
Order Status_COMPLETE,0.009962756
Order Status_PENDING_PAYMENT,0.009193807
Type_PAYMENT,0.008226428
Market_USCA,0.0070855226
Order Status_PENDING,0.0070455186
Market_Pacific Asia,0.0066638594
Order Region_US Center ,0.0061411313
Category Name_Men's Footwear,0.0060304967
Order Status_CLOSED,0.005994836
Product Price,0.005987531
Order Status_ON_HOLD,0.005814209
Order Region_Western Europe,0.005256983
Category Name_Women's Apparel,0.0052117896
Order Country_Cuba,0.005110531
Order Item Quantity,0.005102987
Order Country_Estados Unidos,0.0047473614
Order Region_Central America,0.0046157474
Order Country_Francia,0.004515992
Order Status_PROCESSING,0.0042327666
Order Country_Alemania,0.004153658
Order Region_South America,0.0040211095
Department Name_Golf,0.0039688223
Category Name_Water Sports,0.0038960215
Order Country_Reino Unido,0.0038441687
Order Country_Brasil,0.0038311982
Order Country_El Salvador,0.0037549452
Order Country_República Democrática del Congo,0.0036879086
Order Country_Canada,0.003543519
Order Region_East of USA,0.003533632
Order Region_West of USA ,0.0034030823
Order Country_República Dominicana,0.0032720233
Department Name_Fan Shop,0.0032122438
Order Region_Southeast Asia,0.0030969179
Order Country_México,0.002964778
Department Name_Outdoors,0.002932381
Order Country_Australia,0.0027400325
Order Region_Northern Europe,0.0026242882
Order Country_Panamá,0.0025606747
Order Status_SUSPECTED_FRAUD,0.0025301792
Order Country_Polonia,0.0025265291
Category Name_Indoor/Outdoor Games,0.0025060538
Order Country_Irak,0.002438374
Order Region_South Asia,0.002287655
Order Country_Italia,0.0022702483
Order Region_Caribbean,0.0021912802
Order Status_PAYMENT_REVIEW,0.0021799922
Order Region_West Asia,0.002165858
Order Region_Southern Europe,0.0020927037
Order Region_South of  USA ,0.0020634476
Category Name_Cleats,0.0020538534
Category Name_Cardio Equipment,0.0020076453
Order Country_Colombia,0.0019889749
Order Country_Honduras,0.0019733435
Order Country_Chile,0.0019065064
Order Country_India,0.0018919804
Order Country_China,0.0017910636
Order Country_Nueva Zelanda,0.0017143559
Order Country_Egipto,0.0016832786
Order Country_Guatemala,0.0016295802
Category Name_Camping & Hiking,0.0016125991
Order Region_Eastern Asia,0.0016053322
